[INFO 6:13:10 PM] symbols.hidesExplorerArrows changed, updating to false
[INFO 6:13:10 PM] symbols.folders.associations changed, updating to undefined
[INFO 6:13:10 PM] symbols.files.associations changed, updating to undefined
[INFO 6:14:05 PM] symbols.hidesExplorerArrows changed, updating to false
[INFO 6:14:05 PM] symbols.folders.associations changed, updating to undefined
[INFO 6:14:05 PM] symbols.files.associations changed, updating to undefined
[INFO 6:18:19 PM] symbols.hidesExplorerArrows changed, updating to false
[INFO 6:18:19 PM] symbols.folders.associations changed, updating to undefined
[INFO 6:18:19 PM] symbols.files.associations changed, updating to undefined
[INFO 6:18:45 PM] symbols.hidesExplorerArrows changed, updating to false
[INFO 6:18:45 PM] symbols.folders.associations changed, updating to undefined
[INFO 6:18:45 PM] symbols.files.associations changed, updating to undefined
[INFO 6:20:55 PM] symbols.hidesExplorerArrows changed, updating to false
[INFO 6:20:55 PM] symbols.folders.associations changed, updating to undefined
[INFO 6:20:55 PM] symbols.files.associations changed, updating to undefined
[INFO 6:21:11 PM] symbols.hidesExplorerArrows changed, updating to false
[INFO 6:21:11 PM] symbols.folders.associations changed, updating to undefined
[INFO 6:21:11 PM] symbols.files.associations changed, updating to undefined
[INFO 6:21:11 PM] symbols.hidesExplorerArrows changed, updating to false
[INFO 6:21:11 PM] symbols.folders.associations changed, updating to undefined
[INFO 6:21:11 PM] symbols.files.associations changed, updating to undefined
[INFO 6:21:38 PM] symbols.hidesExplorerArrows changed, updating to false
[INFO 6:21:38 PM] symbols.folders.associations changed, updating to undefined
[INFO 6:21:38 PM] symbols.files.associations changed, updating to undefined
[INFO 6:21:52 PM] symbols.hidesExplorerArrows changed, updating to false
[INFO 6:21:52 PM] symbols.folders.associations changed, updating to undefined
[INFO 6:21:52 PM] symbols.files.associations changed, updating to undefined
[INFO 6:22:51 PM] symbols.hidesExplorerArrows changed, updating to false
[INFO 6:22:51 PM] symbols.folders.associations changed, updating to undefined
[INFO 6:22:51 PM] symbols.files.associations changed, updating to undefined
[INFO 6:22:52 PM] symbols.hidesExplorerArrows changed, updating to false
[INFO 6:22:52 PM] symbols.folders.associations changed, updating to undefined
[INFO 6:22:52 PM] symbols.files.associations changed, updating to undefined
[INFO 6:23:36 PM] symbols.hidesExplorerArrows changed, updating to false
[INFO 6:23:36 PM] symbols.folders.associations changed, updating to undefined
[INFO 6:23:36 PM] symbols.files.associations changed, updating to undefined
[INFO 6:23:37 PM] symbols.hidesExplorerArrows changed, updating to false
[INFO 6:23:37 PM] symbols.folders.associations changed, updating to undefined
[INFO 6:23:37 PM] symbols.files.associations changed, updating to undefined
[INFO 6:26:32 PM] symbols.hidesExplorerArrows changed, updating to false
[INFO 6:26:32 PM] symbols.folders.associations changed, updating to undefined
[INFO 6:26:32 PM] symbols.files.associations changed, updating to undefined
[INFO 6:26:55 PM] symbols.hidesExplorerArrows changed, updating to false
[INFO 6:26:55 PM] symbols.folders.associations changed, updating to undefined
[INFO 6:26:55 PM] symbols.files.associations changed, updating to undefined
[INFO 6:28:05 PM] symbols.hidesExplorerArrows changed, updating to false
[INFO 6:28:05 PM] symbols.folders.associations changed, updating to undefined
[INFO 6:28:05 PM] symbols.files.associations changed, updating to undefined
[INFO 6:30:04 PM] symbols.hidesExplorerArrows changed, updating to false
[INFO 6:30:04 PM] symbols.folders.associations changed, updating to undefined
[INFO 6:30:04 PM] symbols.files.associations changed, updating to undefined
[INFO 6:33:15 PM] symbols.hidesExplorerArrows changed, updating to false
[INFO 6:33:15 PM] symbols.folders.associations changed, updating to undefined
[INFO 6:33:15 PM] symbols.files.associations changed, updating to undefined
[INFO 6:33:51 PM] symbols.hidesExplorerArrows changed, updating to false
[INFO 6:33:51 PM] symbols.folders.associations changed, updating to undefined
[INFO 6:33:51 PM] symbols.files.associations changed, updating to undefined
